n,T,t,p_j
150,158,14,"[39, 20, 49, 38, 9, 42, 29, 45, 48, 39, 26, 11, 20, 34, 45, 35, 8, 4, 25, 32, 43, 25, 9, 42, 32, 39, 50, 28, 50, 50, 33, 47, 28, 17, 27, 40, 31, 45, 3, 49, 21, 34, 13, 45, 29, 38, 47, 35, 8, 25, 4, 16, 6, 8, 37, 2, 29, 32, 28, 33, 4, 27, 4, 21, 23, 15, 44, 15, 42, 37, 4, 12, 17, 35, 5, 14, 7, 42, 16, 19, 28, 29, 48, 39, 31, 2, 20, 32, 34, 3, 28, 12, 45, 37, 36, 14, 14, 29, 3, 41, 48, 40, 24, 27, 44, 27, 38, 31, 48, 47, 22, 41, 38, 4, 49, 24, 12, 14, 6, 18, 30, 45, 17, 19, 17, 35, 46, 12, 6, 32, 23, 29, 46, 37, 35, 47, 27, 41, 19, 3, 47, 23, 8, 20, 17, 25, 7, 5, 46, 47]"
150,192,9,"[41, 16, 50, 1, 40, 29, 9, 44, 1, 25, 22, 10, 5, 25, 4, 37, 43, 36, 4, 43, 5, 44, 37, 49, 11, 9, 17, 24, 44, 19, 30, 8, 12, 27, 7, 45, 23, 32, 37, 6, 1, 40, 50, 11, 13, 29, 6, 15, 46, 3, 29, 28, 6, 46, 18, 36, 45, 36, 22, 10, 44, 18, 17, 47, 5, 42, 10, 24, 15, 25, 1, 25, 1, 32, 11, 29, 48, 44, 36, 50, 48, 46, 7, 26, 4, 38, 23, 46, 26, 22, 44, 10, 11, 20, 24, 15, 12, 31, 43, 33, 4, 15, 4, 47, 39, 4, 15, 17, 46, 29, 9, 40, 25, 44, 35, 49, 8, 1, 10, 22, 10, 33, 37, 11, 5, 10, 29, 4, 7, 34, 28, 45, 40, 14, 41, 44, 18, 35, 14, 2, 48, 20, 36, 30, 10, 42, 30, 19, 40, 11]"
150,153,7,"[10, 47, 25, 22, 30, 45, 35, 17, 31, 26, 34, 13, 29, 21, 29, 4, 15, 13, 30, 4, 21, 29, 7, 24, 28, 30, 36, 18, 31, 15, 3, 21, 33, 5, 4, 30, 2, 29, 6, 5, 9, 18, 24, 30, 32, 18, 37, 40, 47, 48, 20, 42, 48, 37, 29, 32, 31, 2, 25, 1, 1, 48, 24, 1, 46, 45, 50, 17, 36, 31, 11, 39, 8, 30, 1, 7, 19, 22, 4, 15, 25, 41, 36, 17, 29, 28, 7, 31, 43, 12, 44, 34, 12, 48, 35, 2, 2, 49, 9, 1, 36, 11, 9, 21, 30, 37, 9, 43, 8, 4, 29, 23, 1, 33, 31, 26, 45, 31, 30, 2, 31, 20, 34, 10, 32, 41, 45, 20, 13, 25, 6, 14, 37, 27, 36, 31, 21, 44, 40, 37, 21, 7, 13, 19, 47, 7, 48, 46, 16, 46]"
150,169,12,"[20, 3, 30, 42, 40, 22, 35, 30, 46, 34, 24, 22, 39, 48, 5, 38, 20, 3, 29, 39, 14, 21, 1, 4, 33, 36, 30, 14, 10, 9, 20, 16, 35, 29, 4, 26, 9, 47, 43, 26, 21, 19, 22, 34, 38, 49, 43, 32, 12, 33, 25, 29, 45, 20, 11, 5, 48, 22, 24, 25, 8, 36, 24, 33, 32, 21, 35, 42, 25, 19, 12, 17, 35, 21, 28, 50, 8, 44, 29, 1, 49, 13, 48, 48, 17, 33, 35, 41, 3, 1, 33, 17, 16, 42, 50, 43, 17, 32, 24, 8, 14, 48, 19, 3, 8, 29, 1, 9, 35, 38, 20, 48, 50, 13, 21, 13, 33, 1, 44, 48, 41, 32, 38, 13, 18, 31, 43, 6, 32, 22, 25, 32, 10, 24, 40, 25, 32, 49, 4, 10, 11, 46, 16, 33, 17, 17, 45, 33, 42, 37]"
150,154,10,"[30, 2, 40, 23, 40, 25, 5, 42, 47, 25, 33, 43, 19, 10, 25, 14, 21, 28, 22, 8, 5, 47, 10, 5, 42, 3, 18, 37, 30, 10, 10, 4, 26, 5, 21, 17, 12, 41, 39, 40, 44, 28, 50, 44, 18, 49, 12, 18, 44, 6, 19, 19, 48, 18, 41, 1, 46, 2, 1, 29, 6, 38, 32, 48, 15, 49, 5, 13, 27, 37, 27, 34, 49, 34, 45, 26, 14, 21, 15, 28, 24, 24, 41, 21, 33, 30, 5, 17, 45, 26, 41, 1, 24, 8, 46, 25, 38, 9, 18, 13, 37, 41, 3, 16, 14, 46, 14, 44, 10, 34, 36, 27, 11, 47, 4, 30, 4, 41, 13, 3, 8, 2, 9, 17, 12, 20, 48, 17, 16, 24, 23, 7, 44, 31, 39, 33, 45, 4, 23, 40, 28, 31, 50, 16, 26, 20, 6, 24, 6, 28]"
150,177,7,"[48, 26, 33, 50, 8, 28, 38, 42, 33, 18, 25, 34, 2, 19, 33, 34, 34, 4, 46, 30, 42, 50, 44, 39, 39, 28, 4, 32, 44, 38, 40, 40, 1, 30, 6, 4, 5, 3, 23, 34, 12, 34, 16, 24, 23, 9, 9, 17, 42, 16, 19, 18, 21, 8, 15, 31, 5, 25, 38, 16, 38, 41, 17, 38, 45, 48, 32, 5, 14, 9, 41, 39, 24, 17, 13, 43, 34, 23, 4, 17, 44, 32, 12, 49, 48, 34, 41, 47, 1, 10, 15, 48, 32, 40, 5, 14, 3, 43, 37, 15, 9, 10, 47, 23, 22, 43, 44, 6, 27, 35, 36, 23, 36, 9, 43, 30, 1, 8, 29, 4, 45, 34, 50, 38, 38, 33, 41, 46, 46, 25, 49, 36, 21, 47, 45, 28, 41, 18, 1, 13, 8, 42, 33, 46, 34, 40, 27, 44, 9, 29]"
150,171,17,"[25, 32, 27, 16, 43, 41, 13, 36, 25, 21, 26, 19, 45, 26, 18, 4, 49, 43, 25, 2, 43, 21, 49, 45, 41, 20, 49, 19, 32, 15, 46, 49, 41, 9, 4, 17, 20, 39, 16, 17, 24, 4, 28, 41, 47, 23, 14, 48, 47, 8, 13, 19, 5, 31, 38, 18, 43, 15, 35, 11, 43, 9, 1, 42, 38, 43, 1, 24, 31, 10, 29, 43, 30, 18, 21, 14, 1, 33, 37, 41, 4, 16, 46, 10, 41, 34, 1, 28, 11, 25, 46, 27, 20, 5, 37, 48, 13, 1, 34, 31, 11, 27, 1, 20, 21, 14, 20, 9, 38, 2, 31, 4, 8, 16, 13, 26, 38, 22, 32, 27, 50, 24, 28, 16, 46, 17, 41, 32, 43, 4, 38, 45, 32, 20, 14, 37, 50, 8, 25, 48, 17, 45, 33, 14, 7, 44, 1, 10, 41, 11]"
150,169,7,"[48, 36, 12, 13, 19, 9, 23, 3, 26, 16, 15, 26, 26, 19, 29, 11, 34, 43, 12, 32, 48, 5, 21, 2, 35, 27, 7, 46, 22, 1, 32, 42, 28, 34, 12, 9, 10, 32, 32, 36, 7, 48, 4, 49, 38, 19, 1, 50, 1, 12, 21, 50, 25, 50, 44, 9, 18, 14, 12, 17, 3, 22, 18, 5, 36, 12, 31, 37, 30, 50, 48, 9, 14, 19, 42, 14, 41, 6, 27, 15, 21, 25, 11, 4, 14, 11, 33, 16, 6, 34, 4, 28, 49, 48, 11, 14, 10, 28, 3, 10, 15, 11, 15, 21, 32, 45, 7, 41, 44, 15, 12, 39, 45, 6, 32, 6, 13, 47, 16, 28, 31, 18, 9, 34, 31, 23, 26, 2, 45, 44, 24, 10, 28, 30, 3, 47, 8, 24, 36, 26, 40, 33, 5, 23, 20, 40, 38, 40, 14, 19]"
150,191,19,"[39, 17, 6, 5, 24, 49, 24, 19, 13, 30, 45, 28, 50, 24, 7, 48, 33, 20, 6, 25, 49, 42, 19, 40, 43, 47, 3, 27, 11, 7, 8, 15, 5, 25, 43, 45, 4, 23, 4, 8, 39, 8, 50, 9, 48, 22, 19, 36, 24, 28, 41, 29, 14, 5, 30, 31, 25, 27, 43, 7, 14, 8, 50, 12, 19, 33, 11, 22, 5, 16, 25, 42, 48, 36, 50, 18, 34, 33, 8, 34, 8, 48, 15, 47, 36, 39, 39, 40, 12, 33, 29, 48, 32, 20, 20, 17, 11, 40, 46, 10, 5, 44, 44, 27, 37, 38, 48, 4, 1, 42, 7, 23, 21, 38, 2, 47, 21, 13, 13, 25, 47, 43, 2, 19, 47, 17, 6, 34, 41, 2, 6, 41, 41, 16, 42, 38, 20, 28, 19, 47, 34, 32, 33, 13, 8, 21, 33, 45, 50, 23]"
150,186,19,"[9, 17, 15, 48, 25, 38, 17, 7, 26, 49, 30, 50, 34, 6, 7, 15, 18, 7, 15, 23, 7, 39, 3, 21, 23, 35, 25, 38, 35, 21, 19, 27, 34, 7, 1, 41, 18, 37, 22, 8, 19, 13, 40, 38, 29, 16, 8, 22, 14, 39, 50, 7, 22, 13, 30, 30, 16, 27, 48, 46, 15, 2, 30, 1, 36, 34, 49, 49, 15, 32, 37, 39, 44, 8, 24, 49, 48, 45, 44, 2, 19, 4, 50, 47, 35, 19, 37, 38, 3, 9, 46, 32, 4, 31, 23, 20, 23, 9, 41, 5, 14, 19, 1, 25, 18, 31, 42, 3, 36, 32, 50, 18, 17, 30, 25, 47, 14, 22, 20, 44, 12, 21, 20, 16, 8, 43, 38, 14, 34, 15, 26, 13, 24, 49, 44, 18, 45, 17, 10, 44, 26, 19, 23, 31, 14, 19, 45, 36, 30, 18]"
150,185,8,"[46, 9, 47, 40, 36, 31, 30, 49, 16, 43, 49, 8, 18, 44, 47, 50, 27, 14, 50, 17, 34, 12, 31, 11, 17, 27, 3, 32, 41, 32, 7, 14, 11, 9, 39, 18, 45, 26, 9, 3, 3, 41, 42, 41, 13, 12, 48, 7, 2, 10, 3, 13, 17, 19, 29, 26, 11, 48, 47, 16, 38, 47, 11, 20, 39, 48, 25, 6, 8, 27, 27, 19, 19, 14, 11, 12, 37, 38, 5, 5, 23, 25, 43, 8, 16, 47, 4, 35, 13, 46, 27, 41, 8, 49, 31, 47, 48, 2, 41, 19, 30, 35, 23, 25, 48, 45, 28, 35, 40, 6, 47, 12, 29, 50, 19, 25, 42, 29, 39, 9, 27, 39, 24, 4, 33, 44, 38, 37, 25, 4, 38, 9, 50, 21, 18, 39, 18, 20, 34, 33, 15, 7, 7, 9, 14, 50, 10, 2, 2, 10]"
150,169,9,"[2, 2, 27, 36, 10, 2, 43, 9, 14, 35, 48, 17, 2, 49, 23, 49, 27, 22, 22, 34, 21, 2, 19, 2, 30, 49, 32, 38, 34, 2, 7, 36, 6, 13, 16, 40, 46, 37, 7, 22, 3, 42, 27, 3, 25, 14, 5, 22, 47, 40, 31, 4, 31, 31, 17, 3, 26, 8, 30, 11, 23, 13, 16, 14, 5, 41, 47, 48, 19, 33, 30, 50, 33, 10, 39, 32, 43, 27, 47, 37, 45, 14, 10, 4, 37, 46, 5, 46, 47, 22, 31, 38, 34, 17, 35, 1, 25, 42, 35, 4, 29, 33, 16, 43, 15, 5, 46, 20, 30, 40, 10, 29, 18, 14, 4, 10, 19, 34, 32, 17, 21, 5, 48, 14, 6, 26, 13, 42, 35, 23, 44, 27, 38, 22, 18, 25, 40, 23, 35, 16, 24, 15, 21, 45, 31, 29, 28, 47, 3, 8]"
150,167,12,"[32, 50, 9, 33, 2, 21, 32, 15, 38, 1, 33, 40, 30, 29, 43, 28, 41, 45, 12, 15, 45, 8, 31, 39, 12, 25, 3, 37, 11, 21, 15, 40, 37, 27, 29, 14, 42, 40, 3, 3, 13, 39, 27, 3, 2, 40, 16, 32, 8, 4, 18, 6, 21, 46, 14, 38, 7, 46, 24, 8, 49, 47, 40, 5, 21, 44, 21, 6, 30, 47, 13, 32, 4, 45, 33, 48, 10, 37, 47, 46, 5, 45, 20, 30, 24, 1, 17, 34, 12, 24, 10, 3, 26, 25, 4, 12, 20, 44, 11, 38, 8, 3, 35, 22, 34, 11, 37, 39, 16, 2, 18, 32, 2, 45, 49, 35, 13, 16, 34, 31, 37, 27, 26, 10, 43, 46, 9, 29, 26, 2, 20, 17, 23, 10, 20, 36, 42, 32, 37, 3, 22, 23, 1, 37, 43, 30, 16, 6, 48, 34]"
150,182,8,"[15, 19, 23, 12, 47, 21, 38, 2, 16, 3, 4, 28, 8, 18, 32, 18, 47, 2, 47, 14, 12, 45, 18, 1, 37, 42, 45, 13, 8, 8, 24, 29, 48, 9, 2, 38, 11, 35, 40, 39, 6, 38, 47, 32, 12, 4, 23, 36, 32, 37, 30, 19, 31, 46, 20, 6, 12, 4, 15, 2, 16, 16, 42, 25, 30, 19, 43, 10, 24, 39, 47, 24, 29, 16, 30, 40, 17, 42, 33, 25, 27, 23, 34, 24, 24, 32, 5, 25, 13, 4, 49, 17, 39, 42, 9, 30, 28, 28, 6, 7, 20, 2, 16, 18, 16, 36, 44, 21, 33, 7, 17, 31, 44, 13, 27, 3, 45, 46, 19, 27, 37, 35, 34, 14, 45, 35, 50, 23, 25, 28, 28, 50, 47, 35, 7, 26, 7, 34, 13, 39, 11, 42, 47, 16, 5, 19, 2, 34, 25, 38]"
150,188,13,"[40, 43, 49, 25, 30, 6, 39, 29, 6, 22, 6, 5, 24, 46, 18, 8, 8, 17, 6, 26, 25, 8, 19, 40, 25, 32, 16, 10, 10, 21, 13, 41, 14, 9, 47, 4, 20, 18, 23, 33, 5, 24, 14, 40, 48, 1, 15, 12, 38, 37, 6, 40, 29, 15, 16, 39, 3, 45, 5, 36, 42, 23, 7, 13, 43, 45, 4, 9, 43, 14, 34, 45, 42, 5, 42, 7, 7, 14, 47, 1, 6, 28, 47, 43, 26, 12, 17, 48, 32, 41, 2, 30, 41, 6, 38, 35, 26, 41, 30, 42, 31, 40, 34, 21, 46, 10, 17, 20, 31, 32, 29, 22, 8, 13, 34, 46, 37, 33, 50, 11, 36, 41, 35, 2, 45, 29, 6, 32, 23, 26, 2, 42, 40, 37, 1, 46, 38, 9, 15, 26, 24, 11, 2, 22, 7, 23, 47, 46, 35, 15]"
150,164,16,"[47, 25, 16, 36, 3, 13, 40, 33, 13, 5, 48, 8, 38, 19, 16, 13, 29, 32, 2, 34, 33, 49, 21, 18, 15, 3, 8, 12, 36, 50, 49, 9, 34, 23, 23, 1, 50, 42, 5, 18, 39, 26, 27, 7, 13, 24, 41, 6, 27, 2, 46, 26, 25, 39, 14, 20, 34, 17, 46, 6, 43, 35, 39, 2, 23, 9, 12, 22, 11, 2, 43, 2, 44, 46, 25, 10, 17, 50, 26, 24, 22, 11, 17, 7, 32, 38, 5, 44, 16, 22, 46, 41, 28, 22, 30, 31, 35, 27, 10, 18, 44, 35, 41, 35, 47, 30, 28, 20, 41, 39, 20, 33, 32, 27, 48, 42, 30, 23, 40, 16, 50, 38, 44, 4, 37, 25, 43, 24, 4, 5, 19, 30, 41, 22, 43, 19, 14, 3, 4, 7, 11, 40, 50, 10, 15, 30, 21, 14, 10, 50]"
150,193,13,"[15, 1, 17, 22, 43, 24, 26, 39, 19, 10, 35, 33, 43, 13, 49, 45, 14, 34, 32, 46, 3, 2, 7, 25, 42, 26, 15, 28, 2, 17, 9, 30, 14, 11, 33, 12, 40, 12, 7, 31, 35, 32, 21, 14, 8, 13, 47, 26, 38, 11, 29, 40, 30, 25, 13, 28, 18, 44, 25, 2, 38, 47, 44, 16, 33, 23, 9, 28, 25, 38, 22, 17, 4, 30, 47, 33, 2, 24, 11, 36, 32, 47, 40, 44, 22, 17, 20, 5, 22, 48, 25, 33, 5, 45, 26, 4, 17, 19, 10, 33, 44, 26, 29, 34, 21, 11, 13, 41, 14, 34, 7, 15, 39, 19, 15, 37, 50, 27, 9, 4, 9, 48, 40, 44, 6, 31, 38, 16, 36, 49, 48, 25, 37, 5, 11, 26, 39, 21, 15, 19, 19, 22, 18, 8, 40, 48, 39, 8, 35, 20]"
150,193,7,"[45, 31, 16, 37, 7, 23, 45, 3, 44, 23, 15, 13, 35, 10, 30, 31, 18, 10, 23, 33, 27, 22, 17, 44, 35, 45, 45, 8, 40, 27, 4, 16, 43, 13, 37, 27, 26, 26, 18, 13, 17, 24, 42, 34, 46, 6, 8, 4, 24, 44, 10, 45, 13, 16, 25, 27, 16, 1, 1, 29, 41, 4, 15, 5, 17, 4, 5, 34, 8, 39, 17, 46, 36, 4, 6, 50, 30, 36, 45, 3, 32, 9, 25, 3, 11, 1, 28, 7, 25, 28, 48, 4, 26, 26, 14, 8, 4, 31, 31, 25, 11, 39, 43, 37, 44, 9, 21, 20, 43, 32, 10, 48, 25, 30, 22, 2, 5, 50, 18, 47, 37, 10, 33, 3, 13, 3, 4, 46, 45, 13, 23, 29, 49, 38, 18, 13, 20, 32, 19, 3, 28, 41, 20, 35, 21, 12, 20, 13, 11, 2]"
150,154,17,"[39, 20, 30, 12, 47, 22, 22, 30, 18, 39, 21, 12, 26, 12, 22, 22, 18, 33, 10, 14, 7, 19, 39, 43, 8, 30, 4, 48, 11, 29, 7, 28, 50, 24, 17, 39, 20, 7, 24, 49, 31, 31, 8, 15, 28, 12, 34, 42, 13, 38, 36, 16, 18, 6, 36, 26, 38, 27, 35, 42, 18, 24, 12, 8, 40, 4, 21, 16, 22, 43, 22, 38, 38, 44, 4, 28, 13, 22, 23, 11, 24, 48, 19, 1, 22, 36, 23, 10, 2, 9, 2, 50, 18, 39, 29, 44, 3, 34, 7, 24, 30, 29, 45, 34, 31, 41, 19, 6, 4, 39, 50, 25, 19, 43, 2, 14, 32, 31, 41, 40, 7, 24, 30, 38, 20, 45, 9, 46, 42, 50, 46, 19, 31, 45, 13, 48, 44, 14, 22, 47, 22, 19, 9, 17, 11, 28, 4, 20, 11, 16]"
150,152,18,"[2, 3, 5, 16, 25, 35, 35, 19, 19, 3, 39, 3, 23, 46, 47, 43, 30, 2, 47, 46, 43, 42, 2, 28, 14, 11, 34, 44, 40, 40, 34, 38, 41, 39, 5, 13, 44, 43, 18, 14, 24, 30, 22, 37, 36, 8, 29, 10, 38, 47, 41, 35, 16, 18, 27, 34, 30, 6, 6, 47, 10, 6, 26, 44, 8, 15, 30, 13, 33, 7, 21, 32, 39, 47, 18, 25, 22, 20, 16, 14, 36, 42, 41, 9, 1, 48, 46, 26, 45, 19, 31, 18, 22, 4, 18, 16, 49, 18, 27, 26, 29, 27, 20, 26, 35, 17, 25, 24, 42, 48, 46, 1, 35, 13, 16, 7, 19, 6, 27, 28, 11, 21, 35, 37, 30, 13, 10, 10, 38, 41, 43, 11, 40, 9, 49, 11, 11, 3, 16, 31, 21, 22, 33, 32, 27, 46, 19, 18, 34, 32]"
150,158,11,"[14, 9, 14, 25, 8, 1, 47, 15, 47, 41, 31, 48, 35, 3, 49, 20, 17, 14, 24, 29, 43, 10, 41, 29, 37, 25, 44, 19, 16, 30, 31, 12, 47, 49, 4, 29, 12, 23, 1, 11, 12, 26, 26, 28, 32, 19, 8, 7, 18, 28, 9, 7, 34, 2, 23, 45, 50, 14, 30, 42, 24, 18, 4, 24, 32, 31, 33, 14, 45, 21, 24, 13, 15, 2, 34, 18, 38, 10, 12, 47, 27, 41, 35, 11, 6, 1, 48, 2, 29, 33, 49, 5, 13, 27, 7, 37, 23, 18, 16, 23, 9, 50, 45, 30, 14, 28, 15, 25, 4, 50, 34, 10, 22, 50, 21, 25, 45, 38, 48, 18, 35, 45, 38, 12, 10, 28, 8, 48, 30, 37, 30, 39, 39, 29, 14, 7, 12, 33, 16, 20, 22, 26, 39, 22, 42, 6, 22, 9, 21, 10]"
150,173,6,"[18, 1, 35, 35, 29, 31, 7, 31, 45, 24, 48, 35, 25, 30, 48, 49, 36, 42, 10, 7, 41, 18, 33, 1, 40, 28, 12, 28, 24, 1, 39, 2, 7, 29, 47, 22, 24, 21, 16, 7, 32, 29, 23, 12, 20, 41, 12, 8, 44, 30, 37, 41, 26, 15, 41, 24, 11, 25, 18, 40, 28, 49, 49, 14, 10, 28, 4, 49, 31, 18, 36, 14, 19, 37, 20, 28, 48, 50, 22, 24, 35, 8, 43, 34, 21, 19, 43, 46, 32, 28, 19, 28, 17, 11, 20, 48, 3, 37, 50, 15, 3, 39, 33, 33, 42, 17, 19, 7, 21, 40, 25, 24, 32, 2, 39, 18, 9, 22, 48, 30, 14, 3, 47, 42, 11, 41, 3, 18, 41, 2, 18, 4, 4, 30, 31, 20, 50, 34, 23, 42, 38, 10, 49, 1, 21, 5, 14, 50, 32, 20]"
150,157,19,"[21, 7, 31, 36, 27, 50, 21, 38, 20, 3, 21, 34, 43, 17, 11, 6, 13, 25, 25, 10, 10, 28, 36, 1, 32, 24, 37, 18, 9, 33, 9, 45, 42, 49, 4, 26, 45, 45, 7, 45, 7, 11, 37, 36, 31, 41, 29, 24, 42, 29, 35, 20, 29, 10, 14, 37, 15, 39, 21, 45, 5, 41, 29, 30, 50, 4, 30, 32, 41, 35, 26, 23, 37, 15, 24, 41, 19, 41, 31, 8, 17, 14, 36, 47, 8, 35, 38, 24, 15, 45, 1, 7, 31, 8, 11, 31, 2, 21, 33, 32, 24, 21, 10, 29, 22, 13, 24, 49, 9, 36, 28, 39, 43, 3, 31, 26, 14, 16, 39, 18, 39, 11, 3, 3, 43, 28, 41, 18, 42, 4, 9, 12, 14, 14, 23, 18, 3, 39, 33, 12, 20, 5, 27, 39, 45, 38, 38, 35, 2, 43]"
150,183,15,"[14, 37, 2, 5, 3, 24, 8, 37, 23, 39, 8, 40, 38, 48, 12, 4, 35, 41, 17, 8, 7, 43, 3, 34, 40, 2, 13, 13, 41, 46, 35, 39, 9, 2, 50, 49, 13, 19, 3, 6, 19, 15, 43, 42, 35, 40, 19, 25, 28, 39, 27, 35, 35, 47, 13, 18, 7, 2, 25, 35, 25, 46, 30, 15, 21, 45, 6, 42, 44, 36, 21, 29, 22, 12, 27, 34, 33, 38, 43, 21, 31, 7, 38, 31, 34, 23, 4, 28, 11, 45, 13, 41, 2, 38, 13, 10, 23, 44, 20, 50, 36, 2, 31, 39, 33, 34, 11, 35, 2, 25, 28, 20, 22, 2, 20, 10, 16, 35, 7, 7, 7, 18, 6, 45, 50, 30, 2, 42, 2, 25, 27, 39, 13, 32, 11, 40, 3, 1, 27, 11, 38, 34, 13, 10, 6, 36, 19, 39, 30, 44]"
150,195,11,"[17, 3, 18, 21, 6, 28, 47, 2, 44, 9, 41, 43, 5, 34, 17, 23, 4, 18, 8, 37, 21, 22, 12, 40, 23, 4, 34, 8, 6, 10, 46, 40, 12, 46, 15, 30, 16, 46, 46, 7, 16, 38, 16, 34, 2, 44, 18, 45, 46, 34, 4, 32, 12, 20, 23, 31, 8, 46, 27, 43, 43, 1, 43, 6, 25, 8, 2, 30, 26, 14, 25, 50, 25, 13, 23, 6, 25, 23, 37, 30, 1, 20, 2, 48, 40, 24, 29, 6, 2, 9, 41, 21, 5, 32, 5, 30, 39, 29, 48, 50, 14, 26, 28, 50, 48, 22, 12, 27, 32, 16, 8, 4, 27, 23, 22, 1, 37, 42, 40, 49, 30, 17, 31, 24, 46, 49, 44, 29, 24, 24, 24, 38, 23, 13, 1, 46, 11, 23, 3, 15, 24, 10, 34, 8, 8, 14, 15, 13, 22, 22]"
150,189,9,"[16, 26, 27, 45, 17, 48, 49, 12, 12, 46, 18, 6, 37, 23, 25, 35, 11, 48, 32, 10, 31, 23, 32, 25, 18, 30, 27, 15, 44, 7, 25, 9, 26, 40, 42, 1, 42, 27, 41, 17, 9, 2, 26, 23, 47, 10, 12, 21, 6, 6, 1, 25, 43, 6, 2, 48, 11, 48, 38, 7, 43, 19, 3, 49, 43, 30, 27, 11, 44, 2, 37, 42, 25, 28, 36, 19, 15, 17, 12, 15, 34, 46, 45, 27, 46, 27, 25, 7, 24, 37, 42, 40, 49, 7, 3, 34, 37, 18, 7, 30, 17, 49, 47, 29, 6, 34, 41, 2, 10, 7, 50, 4, 18, 47, 4, 21, 27, 36, 24, 32, 2, 19, 48, 32, 44, 21, 29, 17, 49, 20, 47, 18, 44, 50, 1, 28, 2, 50, 15, 30, 33, 35, 49, 31, 25, 37, 35, 41, 2, 21]"
200,151,15,"[21, 40, 1, 4, 24, 14, 47, 39, 18, 2, 9, 24, 22, 33, 3, 31, 11, 30, 16, 49, 36, 29, 18, 39, 19, 45, 38, 50, 25, 42, 35, 9, 25, 28, 14, 48, 30, 20, 13, 21, 48, 7, 7, 26, 31, 16, 1, 19, 28, 48, 26, 35, 41, 39, 31, 34, 37, 47, 7, 47, 23, 29, 40, 7, 2, 25, 40, 1, 21, 14, 29, 16, 11, 21, 31, 48, 35, 25, 15, 40, 8, 38, 15, 50, 26, 47, 25, 18, 27, 39, 45, 24, 19, 13, 7, 34, 37, 3, 14, 29, 11, 20, 29, 9, 5, 18, 3, 5, 46, 9, 22, 23, 43, 10, 32, 49, 20, 30, 22, 33, 48, 43, 35, 5, 28, 9, 49, 39, 21, 25, 43, 34, 22, 14, 16, 6, 5, 42, 33, 11, 31, 32, 36, 27, 30, 31, 13, 26, 40, 38, 14, 4, 43, 25, 1, 43, 15, 29, 23, 18, 14, 31, 20, 13, 19, 46, 32, 2, 6, 15, 9, 19, 18, 41, 9, 34, 46, 28, 35, 7, 9, 47, 39, 41, 24, 23, 22, 17, 42, 32, 10, 9, 20, 43, 11, 45, 49, 5, 9, 18]"
200,200,7,"[50, 10, 42, 46, 8, 39, 39, 41, 26, 3, 31, 42, 39, 31, 27, 5, 2, 13, 19, 27, 6, 13, 50, 11, 22, 24, 38, 43, 24, 34, 15, 36, 14, 35, 34, 8, 43, 19, 35, 45, 12, 35, 8, 6, 43, 43, 43, 21, 38, 17, 8, 18, 47, 40, 47, 15, 22, 17, 16, 40, 9, 3, 11, 50, 39, 11, 19, 18, 6, 32, 3, 11, 32, 1, 38, 49, 24, 32, 50, 41, 39, 14, 2, 17, 35, 10, 15, 11, 8, 42, 36, 20, 22, 22, 48, 38, 49, 13, 33, 45, 38, 23, 9, 25, 5, 42, 9, 8, 30, 28, 3, 10, 19, 2, 16, 1, 43, 34, 5, 27, 13, 35, 8, 35, 41, 18, 44, 34, 24, 39, 20, 45, 17, 17, 25, 37, 2, 35, 15, 30, 13, 27, 2, 44, 17, 32, 30, 40, 19, 23, 38, 27, 7, 46, 2, 29, 13, 30, 31, 10, 42, 30, 8, 22, 12, 31, 1, 13, 36, 9, 37, 17, 12, 31, 6, 22, 39, 46, 32, 11, 47, 31, 43, 14, 14, 14, 44, 32, 18, 10, 44, 46, 2, 15, 36, 36, 41, 25, 11, 18]"
200,187,19,"[27, 41, 4, 46, 31, 14, 50, 45, 15, 44, 46, 42, 30, 41, 16, 32, 32, 32, 47, 41, 34, 7, 23, 11, 41, 18, 21, 8, 50, 25, 20, 6, 43, 41, 31, 49, 49, 35, 24, 31, 24, 17, 4, 46, 21, 10, 8, 37, 9, 44, 4, 24, 13, 20, 25, 44, 35, 5, 28, 7, 30, 11, 17, 12, 6, 1, 1, 7, 26, 4, 18, 21, 40, 35, 22, 7, 49, 20, 30, 29, 7, 20, 6, 44, 10, 13, 31, 13, 47, 7, 37, 14, 14, 23, 22, 22, 37, 28, 37, 49, 45, 16, 31, 46, 25, 28, 48, 31, 29, 39, 4, 41, 26, 24, 4, 37, 34, 2, 38, 36, 35, 8, 3, 26, 34, 39, 1, 19, 1, 32, 44, 49, 10, 16, 6, 39, 36, 17, 22, 41, 31, 47, 2, 13, 18, 34, 34, 19, 14, 14, 34, 6, 27, 34, 17, 31, 36, 21, 47, 17, 18, 7, 27, 17, 42, 33, 50, 30, 30, 40, 9, 11, 45, 12, 9, 20, 43, 27, 5, 31, 49, 44, 1, 39, 21, 2, 24, 39, 46, 21, 43, 22, 8, 48, 15, 2, 13, 44, 14, 38]"
